,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Albany,42.6001,-73.9662,-1.79,72,100,1.14
1,Kongolo,-5.3833,27.0,22.36,89,100,0.63
2,San Quintín,30.4833,-115.95,18.57,54,1,4.05
3,Flensburg,54.7833,9.4333,-2.14,80,100,6.69
4,Rikitea,-23.1203,-134.9692,25.13,73,96,5.63
5,Cockburn Town,21.4612,-71.1419,25.0,83,40,7.19
6,Ushuaia,-54.8,-68.3,17.0,45,40,4.12
7,Umluj,25.0213,37.2685,22.5,27,0,10.63
8,Saint George,37.1041,-113.5841,12.89,29,1,1.1
9,Busselton,-33.65,115.3333,16.67,99,94,0.89
10,Torbay,47.6666,-52.7314,-0.17,55,20,10.8
11,Punta Arenas,-53.15,-70.9167,21.0,23,0,6.69
12,Payo,-3.7508,103.6372,22.22,95,83,0.93
13,Cape Town,-33.9258,18.4232,19.03,68,0,8.23
14,Bac Lieu,9.285,105.7244,24.24,82,6,5.83
15,Hilo,19.7297,-155.09,22.53,49,20,2.06
16,Bluff,-46.6,168.3333,13.87,76,99,2.58
17,Atmakūr,15.8833,78.5833,19.1,52,100,1.72
18,Port Elizabeth,-33.918,25.5701,19.0,94,90,3.09
19,Port Alfred,-33.5906,26.891,18.89,95,98,3.08
20,Makakilo City,21.3469,-158.0858,21.26,56,1,1.54
21,Tura,25.5198,90.2201,14.27,45,6,1.21
22,Hobart,-42.8794,147.3294,10.62,62,40,6.17
23,Coyhaique,-45.5752,-72.0662,25.0,29,0,2.57
24,Province of Mantua,45.1667,10.7833,9.44,95,91,1.34
25,Kavieng,-2.5744,150.7967,28.3,75,68,3.66
26,Asău,46.4333,26.4,-1.11,74,100,1.12
27,Tiksi,71.6872,128.8694,-33.5,85,29,1.64
28,Puerto Ayora,-0.7393,-90.3518,27.88,70,0,7.72
29,Grenå,56.4158,10.8783,-3.02,64,75,10.8
30,George Town,5.4112,100.3354,26.26,78,20,2.06
31,Arraial do Cabo,-22.9661,-42.0278,23.0,88,75,1.54
32,Bethel,41.3712,-73.414,-2.12,86,90,2.06
33,Te Anau,-45.4167,167.7167,14.57,73,100,1.54
34,Saint-Philippe,-21.3585,55.7679,23.76,74,90,2.06
35,Zyryanka,65.75,150.85,-28.04,85,100,7.89
36,Vestmannaeyjar,63.4427,-20.2734,3.52,75,47,9.67
37,Nangong,37.3581,115.3744,-0.94,77,3,2.18
38,Vanimo,-2.6741,141.3028,24.97,86,100,1.66
39,Mar del Plata,-38.0023,-57.5575,15.14,94,90,4.12
40,Egvekinot,66.3167,-179.1667,-23.67,82,0,6.51
41,Isangel,-19.55,169.2667,25.0,94,20,2.57
42,Nikolskoye,59.7035,30.7861,-9.02,86,90,5.0
43,Saldanha,-33.0117,17.9442,18.0,68,0,7.72
44,Airai,-8.9266,125.4092,15.9,100,100,1.2
45,Ribeira Grande,38.5167,-28.7,15.0,77,40,5.66
46,Mahébourg,-20.4081,57.7,27.0,78,75,4.63
47,Frontera,26.9333,-101.45,21.79,21,80,1.57
48,Bubaque,11.2833,-15.8333,25.2,66,15,7.35
49,Avarua,-21.2078,-159.775,29.0,79,20,6.17
50,Avera,33.194,-82.5271,10.0,66,75,3.6
51,Cherskiy,68.75,161.3,-19.75,69,10,0.85
52,Le Vauclin,14.5452,-60.8388,23.22,94,75,8.23
53,Kavaratti,10.5669,72.642,27.07,71,4,3.72
54,Mazagão,-0.115,-51.2894,32.0,66,40,5.66
55,Dikson,73.5069,80.5464,-35.56,85,90,6.46
56,Mataura,-46.1927,168.8643,14.89,66,97,0.87
